Model,History,Background,Position,Correct
allam-2-7b,no_history,nasa-tbl-orb,1,0
allam-2-7b,no_history,nasa-tbl-orb,2,0
allam-2-7b,no_history,nasa-tbl-orb,3,0
allam-2-7b,no_history,nasa-tbl-orb,4,0
allam-2-7b,no_history,nasa-tbl-orb,5,0
allam-2-7b,no_history,nasa-tbl-orb,6,1
allam-2-7b,no_history,nasa-flare-tbl,1,1
allam-2-7b,no_history,nasa-flare-tbl,2,0
allam-2-7b,no_history,nasa-flare-tbl,3,1
allam-2-7b,no_history,nasa-flare-tbl,4,0
allam-2-7b,no_history,nasa-flare-tbl,5,0
allam-2-7b,no_history,vector-roof-solar,1,1
allam-2-7b,no_history,vector-roof-solar,2,0
allam-2-7b,no_history,vector-roof-solar,3,0
allam-2-7b,no_history,vector-roof-solar,4,0
allam-2-7b,no_history,vector-roof-solar,5,1
allam-2-7b,no_history,vector-roof-solar,6,1
allam-2-7b,no_history,cloud-mass,1,1
allam-2-7b,no_history,cloud-mass,2,0
allam-2-7b,no_history,cloud-mass,3,0
allam-2-7b,no_history,cloud-mass,4,1
allam-2-7b,no_history,rainfall-rates,1,0
allam-2-7b,no_history,rainfall-rates,2,0
allam-2-7b,no_history,rainfall-rates,3,0
allam-2-7b,no_history,naep-read-fish,1,1
allam-2-7b,no_history,naep-read-fish,2,1
allam-2-7b,no_history,naep-read-fun,1,1
allam-2-7b,no_history,naep-read-fun,2,1
allam-2-7b,no_history,naep-read-fun,3,0
allam-2-7b,no_history,naep-read-fun,4,1
allam-2-7b,no_history,naep-read-fun,5,0
allam-2-7b,no_history,naep-read-fun,6,1
allam-2-7b,no_history,naep-read-meters,1,1
allam-2-7b,no_history,naep-read-meters,2,1
allam-2-7b,no_history,naep-read-meters,3,1
allam-2-7b,no_history,naep-read-meters,4,1
allam-2-7b,no_history,naep-read-meters,5,1
allam-2-7b,no_history,naep-read-meters,6,0
allam-2-7b,no_history,naep-read-shark,1,0
allam-2-7b,no_history,naep-read-shark,2,1
allam-2-7b,no_history,naep-read-shark,3,1
allam-2-7b,no_history,naep-read-shark,4,1
allam-2-7b,no_history,naep-read-shark,5,1
allam-2-7b,no_history,naep-read-shark,6,1
allam-2-7b,no_history,naep-read-alligator,1,1
allam-2-7b,no_history,naep-read-alligator,2,1
allam-2-7b,no_history,naep-read-alligator,3,1
allam-2-7b,no_history,naep-read-alligator,4,1
llama-3.1-8b-instant,no_history,nasa-tbl-orb,1,1
llama-3.1-8b-instant,no_history,nasa-tbl-orb,2,1
llama-3.1-8b-instant,no_history,nasa-tbl-orb,3,0
llama-3.1-8b-instant,no_history,nasa-tbl-orb,4,0
llama-3.1-8b-instant,no_history,nasa-tbl-orb,5,0
llama-3.1-8b-instant,no_history,nasa-tbl-orb,6,0
llama-3.1-8b-instant,no_history,nasa-flare-tbl,1,1
llama-3.1-8b-instant,no_history,nasa-flare-tbl,2,0
llama-3.1-8b-instant,no_history,nasa-flare-tbl,3,0
llama-3.1-8b-instant,no_history,nasa-flare-tbl,4,0
llama-3.1-8b-instant,no_history,nasa-flare-tbl,5,0
llama-3.1-8b-instant,no_history,vector-roof-solar,1,0
llama-3.1-8b-instant,no_history,vector-roof-solar,2,1
llama-3.1-8b-instant,no_history,vector-roof-solar,3,1
llama-3.1-8b-instant,no_history,vector-roof-solar,4,1
llama-3.1-8b-instant,no_history,vector-roof-solar,5,1
llama-3.1-8b-instant,no_history,vector-roof-solar,6,1
llama-3.1-8b-instant,no_history,cloud-mass,1,1
llama-3.1-8b-instant,no_history,cloud-mass,2,1
llama-3.1-8b-instant,no_history,cloud-mass,3,1
llama-3.1-8b-instant,no_history,cloud-mass,4,1
llama-3.1-8b-instant,no_history,rainfall-rates,1,0
llama-3.1-8b-instant,no_history,rainfall-rates,2,0
llama-3.1-8b-instant,no_history,rainfall-rates,3,1
llama-3.1-8b-instant,no_history,naep-read-fish,1,1
llama-3.1-8b-instant,no_history,naep-read-fish,2,0
llama-3.1-8b-instant,no_history,naep-read-fun,1,1
llama-3.1-8b-instant,no_history,naep-read-fun,2,1
llama-3.1-8b-instant,no_history,naep-read-fun,3,1
llama-3.1-8b-instant,no_history,naep-read-fun,4,1
llama-3.1-8b-instant,no_history,naep-read-fun,5,1
llama-3.1-8b-instant,no_history,naep-read-fun,6,1
llama-3.1-8b-instant,no_history,naep-read-meters,1,1
llama-3.1-8b-instant,no_history,naep-read-meters,2,1
llama-3.1-8b-instant,no_history,naep-read-meters,3,1
llama-3.1-8b-instant,no_history,naep-read-meters,4,1
llama-3.1-8b-instant,no_history,naep-read-meters,5,1
llama-3.1-8b-instant,no_history,naep-read-meters,6,1
llama-3.1-8b-instant,no_history,naep-read-shark,1,1
llama-3.1-8b-instant,no_history,naep-read-shark,2,1
llama-3.1-8b-instant,no_history,naep-read-shark,3,1
llama-3.1-8b-instant,no_history,naep-read-shark,4,1
llama-3.1-8b-instant,no_history,naep-read-shark,5,1
llama-3.1-8b-instant,no_history,naep-read-shark,6,1
llama-3.1-8b-instant,no_history,naep-read-alligator,1,1
llama-3.1-8b-instant,no_history,naep-read-alligator,2,1
llama-3.1-8b-instant,no_history,naep-read-alligator,3,1
llama-3.1-8b-instant,no_history,naep-read-alligator,4,1
gemma2-9b-it,no_history,nasa-tbl-orb,1,1
gemma2-9b-it,no_history,nasa-tbl-orb,2,0
gemma2-9b-it,no_history,nasa-tbl-orb,3,1
gemma2-9b-it,no_history,nasa-tbl-orb,4,0
gemma2-9b-it,no_history,nasa-tbl-orb,5,0
gemma2-9b-it,no_history,nasa-tbl-orb,6,1
gemma2-9b-it,no_history,nasa-flare-tbl,1,1
gemma2-9b-it,no_history,nasa-flare-tbl,2,1
gemma2-9b-it,no_history,nasa-flare-tbl,3,1
gemma2-9b-it,no_history,nasa-flare-tbl,4,1
gemma2-9b-it,no_history,nasa-flare-tbl,5,1
gemma2-9b-it,no_history,vector-roof-solar,1,1
gemma2-9b-it,no_history,vector-roof-solar,2,1
gemma2-9b-it,no_history,vector-roof-solar,3,0
gemma2-9b-it,no_history,vector-roof-solar,4,0
gemma2-9b-it,no_history,vector-roof-solar,5,0
gemma2-9b-it,no_history,vector-roof-solar,6,1
gemma2-9b-it,no_history,cloud-mass,1,1
gemma2-9b-it,no_history,cloud-mass,2,0
gemma2-9b-it,no_history,cloud-mass,3,1
gemma2-9b-it,no_history,cloud-mass,4,1
gemma2-9b-it,no_history,rainfall-rates,1,0
gemma2-9b-it,no_history,rainfall-rates,2,0
gemma2-9b-it,no_history,rainfall-rates,3,0
gemma2-9b-it,no_history,naep-read-fish,1,1
gemma2-9b-it,no_history,naep-read-fish,2,1
gemma2-9b-it,no_history,naep-read-fun,1,1
gemma2-9b-it,no_history,naep-read-fun,2,1
gemma2-9b-it,no_history,naep-read-fun,3,1
gemma2-9b-it,no_history,naep-read-fun,4,1
gemma2-9b-it,no_history,naep-read-fun,5,1
gemma2-9b-it,no_history,naep-read-fun,6,1
gemma2-9b-it,no_history,naep-read-meters,1,1
gemma2-9b-it,no_history,naep-read-meters,2,1
gemma2-9b-it,no_history,naep-read-meters,3,1
gemma2-9b-it,no_history,naep-read-meters,4,1
gemma2-9b-it,no_history,naep-read-meters,5,1
gemma2-9b-it,no_history,naep-read-meters,6,1
gemma2-9b-it,no_history,naep-read-shark,1,1
gemma2-9b-it,no_history,naep-read-shark,2,1
gemma2-9b-it,no_history,naep-read-shark,3,1
gemma2-9b-it,no_history,naep-read-shark,4,1
gemma2-9b-it,no_history,naep-read-shark,5,1
gemma2-9b-it,no_history,naep-read-shark,6,1
gemma2-9b-it,no_history,naep-read-alligator,1,1
gemma2-9b-it,no_history,naep-read-alligator,2,1
gemma2-9b-it,no_history,naep-read-alligator,3,1
gemma2-9b-it,no_history,naep-read-alligator,4,1
gemma2-9b-it,with_history,nasa-tbl-orb,1,1
gemma2-9b-it,with_history,nasa-tbl-orb,2,1
gemma2-9b-it,with_history,nasa-tbl-orb,3,1
gemma2-9b-it,with_history,nasa-tbl-orb,4,0
gemma2-9b-it,with_history,nasa-tbl-orb,5,0
gemma2-9b-it,with_history,nasa-tbl-orb,6,1
gemma2-9b-it,with_history,nasa-flare-tbl,1,1
gemma2-9b-it,with_history,nasa-flare-tbl,2,1
gemma2-9b-it,with_history,nasa-flare-tbl,3,1
gemma2-9b-it,with_history,nasa-flare-tbl,4,1
gemma2-9b-it,with_history,nasa-flare-tbl,5,1
gemma2-9b-it,with_history,vector-roof-solar,1,1
gemma2-9b-it,with_history,vector-roof-solar,2,1
gemma2-9b-it,with_history,vector-roof-solar,3,0
gemma2-9b-it,with_history,vector-roof-solar,4,1
gemma2-9b-it,with_history,vector-roof-solar,5,0
gemma2-9b-it,with_history,vector-roof-solar,6,1
gemma2-9b-it,with_history,cloud-mass,1,1
gemma2-9b-it,with_history,cloud-mass,2,1
gemma2-9b-it,with_history,cloud-mass,3,1
gemma2-9b-it,with_history,cloud-mass,4,1
gemma2-9b-it,with_history,rainfall-rates,1,1
gemma2-9b-it,with_history,rainfall-rates,2,0
gemma2-9b-it,with_history,rainfall-rates,3,0
gemma2-9b-it,with_history,naep-read-fish,1,1
gemma2-9b-it,with_history,naep-read-fish,2,1
gemma2-9b-it,with_history,naep-read-fun,1,1
gemma2-9b-it,with_history,naep-read-fun,2,1
gemma2-9b-it,with_history,naep-read-fun,3,1
gemma2-9b-it,with_history,naep-read-fun,4,1
gemma2-9b-it,with_history,naep-read-fun,5,1
gemma2-9b-it,with_history,naep-read-fun,6,1
gemma2-9b-it,with_history,naep-read-meters,1,1
gemma2-9b-it,with_history,naep-read-meters,2,1
gemma2-9b-it,with_history,naep-read-meters,3,1
gemma2-9b-it,with_history,naep-read-meters,4,1
gemma2-9b-it,with_history,naep-read-meters,5,1
gemma2-9b-it,with_history,naep-read-meters,6,1
gemma2-9b-it,with_history,naep-read-shark,1,1
gemma2-9b-it,with_history,naep-read-shark,2,1
gemma2-9b-it,with_history,naep-read-shark,3,1
gemma2-9b-it,with_history,naep-read-shark,4,1
gemma2-9b-it,with_history,naep-read-shark,5,1
gemma2-9b-it,with_history,naep-read-shark,6,1
gemma2-9b-it,with_history,naep-read-alligator,1,1
gemma2-9b-it,with_history,naep-read-alligator,2,1
gemma2-9b-it,with_history,naep-read-alligator,3,1
gemma2-9b-it,with_history,naep-read-alligator,4,1
allam-2-7b,with_history,nasa-tbl-orb,1,1
allam-2-7b,with_history,nasa-tbl-orb,2,1
allam-2-7b,with_history,nasa-tbl-orb,3,0
allam-2-7b,with_history,nasa-tbl-orb,4,0
allam-2-7b,with_history,nasa-tbl-orb,5,0
allam-2-7b,with_history,nasa-tbl-orb,6,1
allam-2-7b,with_history,nasa-flare-tbl,1,1
allam-2-7b,with_history,nasa-flare-tbl,2,0
allam-2-7b,with_history,nasa-flare-tbl,3,1
allam-2-7b,with_history,nasa-flare-tbl,4,0
allam-2-7b,with_history,nasa-flare-tbl,5,0
allam-2-7b,with_history,vector-roof-solar,1,0
allam-2-7b,with_history,vector-roof-solar,2,0
allam-2-7b,with_history,vector-roof-solar,3,0
allam-2-7b,with_history,vector-roof-solar,4,1
allam-2-7b,with_history,vector-roof-solar,5,0
allam-2-7b,with_history,vector-roof-solar,6,0
allam-2-7b,with_history,cloud-mass,1,1
allam-2-7b,with_history,cloud-mass,2,0
allam-2-7b,with_history,cloud-mass,3,0
allam-2-7b,with_history,cloud-mass,4,0
allam-2-7b,with_history,rainfall-rates,1,0
allam-2-7b,with_history,rainfall-rates,2,0
allam-2-7b,with_history,rainfall-rates,3,0
allam-2-7b,with_history,naep-read-fish,1,1
allam-2-7b,with_history,naep-read-fish,2,1
allam-2-7b,with_history,naep-read-fun,1,1
allam-2-7b,with_history,naep-read-fun,2,1
allam-2-7b,with_history,naep-read-fun,3,0
allam-2-7b,with_history,naep-read-fun,4,1
allam-2-7b,with_history,naep-read-fun,5,1
allam-2-7b,with_history,naep-read-fun,6,1
allam-2-7b,with_history,naep-read-meters,1,1
allam-2-7b,with_history,naep-read-meters,2,1
allam-2-7b,with_history,naep-read-meters,3,0
allam-2-7b,with_history,naep-read-meters,4,0
allam-2-7b,with_history,naep-read-meters,5,1
allam-2-7b,with_history,naep-read-meters,6,1
allam-2-7b,with_history,naep-read-shark,1,0
allam-2-7b,with_history,naep-read-shark,2,1
allam-2-7b,with_history,naep-read-shark,3,0
allam-2-7b,with_history,naep-read-shark,4,1
allam-2-7b,with_history,naep-read-shark,5,1
allam-2-7b,with_history,naep-read-shark,6,1
allam-2-7b,with_history,naep-read-alligator,1,1
allam-2-7b,with_history,naep-read-alligator,2,0
allam-2-7b,with_history,naep-read-alligator,3,1
allam-2-7b,with_history,naep-read-alligator,4,1
llama-3.3-70b-versatile,with_history,nasa-tbl-orb,1,1
llama-3.3-70b-versatile,with_history,nasa-tbl-orb,2,0
llama-3.3-70b-versatile,with_history,nasa-tbl-orb,3,1
llama-3.3-70b-versatile,with_history,nasa-tbl-orb,4,1
llama-3.3-70b-versatile,with_history,nasa-tbl-orb,5,1
llama-3.3-70b-versatile,with_history,nasa-tbl-orb,6,0
llama-3.3-70b-versatile,with_history,nasa-flare-tbl,1,1
llama-3.3-70b-versatile,with_history,nasa-flare-tbl,2,1
llama-3.3-70b-versatile,with_history,nasa-flare-tbl,3,0
llama-3.3-70b-versatile,with_history,nasa-flare-tbl,4,1
llama-3.3-70b-versatile,with_history,nasa-flare-tbl,5,1
llama-3.3-70b-versatile,with_history,vector-roof-solar,1,1
llama-3.3-70b-versatile,with_history,vector-roof-solar,2,1
llama-3.3-70b-versatile,with_history,vector-roof-solar,3,0
llama-3.3-70b-versatile,with_history,vector-roof-solar,4,0
llama-3.3-70b-versatile,with_history,vector-roof-solar,5,1
llama-3.3-70b-versatile,with_history,vector-roof-solar,6,1
llama-3.3-70b-versatile,with_history,cloud-mass,1,1
llama-3.3-70b-versatile,with_history,cloud-mass,2,1
llama-3.3-70b-versatile,with_history,cloud-mass,3,0
llama-3.3-70b-versatile,with_history,cloud-mass,4,0
llama-3.3-70b-versatile,with_history,rainfall-rates,1,0
llama-3.3-70b-versatile,with_history,rainfall-rates,2,1
llama-3.3-70b-versatile,with_history,rainfall-rates,3,0
llama-3.3-70b-versatile,with_history,naep-read-fish,1,1
llama-3.3-70b-versatile,with_history,naep-read-fish,2,1
llama-3.3-70b-versatile,with_history,naep-read-fun,1,1
llama-3.3-70b-versatile,with_history,naep-read-fun,2,1
llama-3.3-70b-versatile,with_history,naep-read-fun,3,1
llama-3.3-70b-versatile,with_history,naep-read-fun,4,1
llama-3.3-70b-versatile,with_history,naep-read-fun,5,1
llama-3.3-70b-versatile,with_history,naep-read-fun,6,1
llama-3.3-70b-versatile,with_history,naep-read-meters,1,1
llama-3.3-70b-versatile,with_history,naep-read-meters,2,1
llama-3.3-70b-versatile,with_history,naep-read-meters,3,1
llama-3.3-70b-versatile,with_history,naep-read-meters,4,1
llama-3.3-70b-versatile,with_history,naep-read-meters,5,1
llama-3.3-70b-versatile,with_history,naep-read-meters,6,1
llama-3.3-70b-versatile,with_history,naep-read-shark,1,1
llama-3.3-70b-versatile,with_history,naep-read-shark,2,1
llama-3.3-70b-versatile,with_history,naep-read-shark,3,1
llama-3.3-70b-versatile,with_history,naep-read-shark,4,1
llama-3.3-70b-versatile,with_history,naep-read-shark,5,1
llama-3.3-70b-versatile,with_history,naep-read-shark,6,1
llama-3.3-70b-versatile,with_history,naep-read-alligator,1,1
llama-3.3-70b-versatile,with_history,naep-read-alligator,2,1
llama-3.3-70b-versatile,with_history,naep-read-alligator,3,1
llama-3.3-70b-versatile,with_history,naep-read-alligator,4,1
llama3-70b-8192,no_history,nasa-tbl-orb,1,1
llama3-70b-8192,no_history,nasa-tbl-orb,2,0
llama3-70b-8192,no_history,nasa-tbl-orb,3,1
llama3-70b-8192,no_history,nasa-tbl-orb,4,1
llama3-70b-8192,no_history,nasa-tbl-orb,5,1
llama3-70b-8192,no_history,nasa-tbl-orb,6,0
llama3-70b-8192,no_history,nasa-flare-tbl,1,0
llama3-70b-8192,no_history,nasa-flare-tbl,2,1
llama3-70b-8192,no_history,nasa-flare-tbl,3,1
llama3-70b-8192,no_history,nasa-flare-tbl,4,1
llama3-70b-8192,no_history,nasa-flare-tbl,5,1
llama3-70b-8192,no_history,vector-roof-solar,1,1
llama3-70b-8192,no_history,vector-roof-solar,2,1
llama3-70b-8192,no_history,vector-roof-solar,3,0
