Model,History,Category,Subcategory,Accuracy
gemini-2.0-flash-lite,with_history,Overall,All,0.8194444444444444
gemini-2.0-flash-lite,with_history,Source,TIMSS,0.8333333333333334
gemini-2.0-flash-lite,with_history,Source,NASA,0.625
gemini-2.0-flash-lite,with_history,Source,NAEP,1.0
gemini-2.0-flash-lite,with_history,Background,none,0.8333333333333334
gemini-2.0-flash-lite,with_history,Background,nasa-tbl-orb,0.6666666666666666
gemini-2.0-flash-lite,with_history,Background,nasa-flare-tbl,0.6
gemini-2.0-flash-lite,with_history,Background,vector-roof-solar,0.6666666666666666
gemini-2.0-flash-lite,with_history,Background,cloud-mass,0.75
gemini-2.0-flash-lite,with_history,Background,rainfall-rates,0.3333333333333333
gemini-2.0-flash-lite,with_history,Background,naep-read-fish,1.0
gemini-2.0-flash-lite,with_history,Background,naep-read-fun,1.0
gemini-2.0-flash-lite,with_history,Background,naep-read-meters,1.0
gemini-2.0-flash-lite,with_history,Background,naep-read-shark,1.0
gemini-2.0-flash-lite,with_history,Background,naep-read-alligator,1.0
gemini-2.0-flash-lite,no_history,Overall,All,0.8055555555555556
gemini-2.0-flash-lite,no_history,Source,TIMSS,0.875
gemini-2.0-flash-lite,no_history,Source,NASA,0.5833333333333334
gemini-2.0-flash-lite,no_history,Source,NAEP,0.9583333333333334
gemini-2.0-flash-lite,no_history,Background,none,0.875
gemini-2.0-flash-lite,no_history,Background,nasa-tbl-orb,1.0
gemini-2.0-flash-lite,no_history,Background,nasa-flare-tbl,0.4
gemini-2.0-flash-lite,no_history,Background,vector-roof-solar,0.5
gemini-2.0-flash-lite,no_history,Background,cloud-mass,0.5
gemini-2.0-flash-lite,no_history,Background,rainfall-rates,0.3333333333333333
gemini-2.0-flash-lite,no_history,Background,naep-read-fish,1.0
gemini-2.0-flash-lite,no_history,Background,naep-read-fun,1.0
gemini-2.0-flash-lite,no_history,Background,naep-read-meters,1.0
gemini-2.0-flash-lite,no_history,Background,naep-read-shark,1.0
gemini-2.0-flash-lite,no_history,Background,naep-read-alligator,0.75
llama3-70b-8192,with_history,Overall,All,0.7916666666666666
llama3-70b-8192,with_history,Source,TIMSS,0.7083333333333334
llama3-70b-8192,with_history,Source,NASA,0.6666666666666666
llama3-70b-8192,with_history,Source,NAEP,1.0
llama3-70b-8192,with_history,Background,none,0.7083333333333334
llama3-70b-8192,with_history,Background,nasa-tbl-orb,0.5
llama3-70b-8192,with_history,Background,nasa-flare-tbl,0.6
llama3-70b-8192,with_history,Background,vector-roof-solar,0.8333333333333334
llama3-70b-8192,with_history,Background,cloud-mass,0.75
llama3-70b-8192,with_history,Background,rainfall-rates,0.6666666666666666
llama3-70b-8192,with_history,Background,naep-read-fish,1.0
llama3-70b-8192,with_history,Background,naep-read-fun,1.0
llama3-70b-8192,with_history,Background,naep-read-meters,1.0
llama3-70b-8192,with_history,Background,naep-read-shark,1.0
llama3-70b-8192,with_history,Background,naep-read-alligator,1.0
llama3-70b-8192,no_history,Overall,All,0.8333333333333334
llama3-70b-8192,no_history,Source,TIMSS,0.75
llama3-70b-8192,no_history,Source,NASA,0.75
llama3-70b-8192,no_history,Source,NAEP,1.0
llama3-70b-8192,no_history,Background,none,0.75
llama3-70b-8192,no_history,Background,nasa-tbl-orb,0.6666666666666666
llama3-70b-8192,no_history,Background,nasa-flare-tbl,0.8
llama3-70b-8192,no_history,Background,vector-roof-solar,0.6666666666666666
llama3-70b-8192,no_history,Background,cloud-mass,1.0
llama3-70b-8192,no_history,Background,rainfall-rates,0.6666666666666666
llama3-70b-8192,no_history,Background,naep-read-fish,1.0
llama3-70b-8192,no_history,Background,naep-read-fun,1.0
llama3-70b-8192,no_history,Background,naep-read-meters,1.0
llama3-70b-8192,no_history,Background,naep-read-shark,1.0
llama3-70b-8192,no_history,Background,naep-read-alligator,1.0
llama-3.1-8b-instant,with_history,Overall,All,0.7361111111111112
llama-3.1-8b-instant,with_history,Source,TIMSS,0.625
llama-3.1-8b-instant,with_history,Source,NASA,0.625
llama-3.1-8b-instant,with_history,Source,NAEP,0.9583333333333334
llama-3.1-8b-instant,with_history,Background,none,0.625
llama-3.1-8b-instant,with_history,Background,nasa-tbl-orb,0.5
llama-3.1-8b-instant,with_history,Background,nasa-flare-tbl,0.6
llama-3.1-8b-instant,with_history,Background,vector-roof-solar,0.8333333333333334
llama-3.1-8b-instant,with_history,Background,cloud-mass,0.5
llama-3.1-8b-instant,with_history,Background,rainfall-rates,0.6666666666666666
llama-3.1-8b-instant,with_history,Background,naep-read-fish,0.5
llama-3.1-8b-instant,with_history,Background,naep-read-fun,1.0
llama-3.1-8b-instant,with_history,Background,naep-read-meters,1.0
llama-3.1-8b-instant,with_history,Background,naep-read-shark,1.0
llama-3.1-8b-instant,with_history,Background,naep-read-alligator,1.0
llama-3.1-8b-instant,no_history,Overall,All,0.6666666666666666
llama-3.1-8b-instant,no_history,Source,TIMSS,0.5
llama-3.1-8b-instant,no_history,Source,NASA,0.5416666666666666
llama-3.1-8b-instant,no_history,Source,NAEP,0.9583333333333334
llama-3.1-8b-instant,no_history,Background,none,0.5
llama-3.1-8b-instant,no_history,Background,nasa-tbl-orb,0.3333333333333333
llama-3.1-8b-instant,no_history,Background,nasa-flare-tbl,0.2
llama-3.1-8b-instant,no_history,Background,vector-roof-solar,0.8333333333333334
llama-3.1-8b-instant,no_history,Background,cloud-mass,1.0
llama-3.1-8b-instant,no_history,Background,rainfall-rates,0.3333333333333333
llama-3.1-8b-instant,no_history,Background,naep-read-fish,0.5
llama-3.1-8b-instant,no_history,Background,naep-read-fun,1.0
llama-3.1-8b-instant,no_history,Background,naep-read-meters,1.0
llama-3.1-8b-instant,no_history,Background,naep-read-shark,1.0
llama-3.1-8b-instant,no_history,Background,naep-read-alligator,1.0
llama-3.3-70b-versatile,with_history,Overall,All,0.8194444444444444
llama-3.3-70b-versatile,with_history,Source,TIMSS,0.8333333333333334
llama-3.3-70b-versatile,with_history,Source,NASA,0.625
llama-3.3-70b-versatile,with_history,Source,NAEP,1.0
llama-3.3-70b-versatile,with_history,Background,none,0.8333333333333334
llama-3.3-70b-versatile,with_history,Background,nasa-tbl-orb,0.6666666666666666
llama-3.3-70b-versatile,with_history,Background,nasa-flare-tbl,0.8
llama-3.3-70b-versatile,with_history,Background,vector-roof-solar,0.6666666666666666
llama-3.3-70b-versatile,with_history,Background,cloud-mass,0.5
llama-3.3-70b-versatile,with_history,Background,rainfall-rates,0.3333333333333333
llama-3.3-70b-versatile,with_history,Background,naep-read-fish,1.0
llama-3.3-70b-versatile,with_history,Background,naep-read-fun,1.0
llama-3.3-70b-versatile,with_history,Background,naep-read-meters,1.0
llama-3.3-70b-versatile,with_history,Background,naep-read-shark,1.0
llama-3.3-70b-versatile,with_history,Background,naep-read-alligator,1.0
llama-3.3-70b-versatile,no_history,Overall,All,0.7916666666666666
llama-3.3-70b-versatile,no_history,Source,TIMSS,0.7916666666666666
llama-3.3-70b-versatile,no_history,Source,NASA,0.5833333333333334
llama-3.3-70b-versatile,no_history,Source,NAEP,1.0
llama-3.3-70b-versatile,no_history,Background,none,0.7916666666666666
llama-3.3-70b-versatile,no_history,Background,nasa-tbl-orb,0.5
llama-3.3-70b-versatile,no_history,Background,nasa-flare-tbl,0.8
llama-3.3-70b-versatile,no_history,Background,vector-roof-solar,0.5
llama-3.3-70b-versatile,no_history,Background,cloud-mass,0.75
llama-3.3-70b-versatile,no_history,Background,rainfall-rates,0.3333333333333333
llama-3.3-70b-versatile,no_history,Background,naep-read-fish,1.0
llama-3.3-70b-versatile,no_history,Background,naep-read-fun,1.0
llama-3.3-70b-versatile,no_history,Background,naep-read-meters,1.0
llama-3.3-70b-versatile,no_history,Background,naep-read-shark,1.0
llama-3.3-70b-versatile,no_history,Background,naep-read-alligator,1.0
gemma2-9b-it,with_history,Overall,All,0.75
gemma2-9b-it,with_history,Source,TIMSS,0.5
gemma2-9b-it,with_history,Source,NASA,0.75
gemma2-9b-it,with_history,Source,NAEP,1.0
gemma2-9b-it,with_history,Background,none,0.5
gemma2-9b-it,with_history,Background,nasa-tbl-orb,0.6666666666666666
gemma2-9b-it,with_history,Background,nasa-flare-tbl,1.0
gemma2-9b-it,with_history,Background,vector-roof-solar,0.6666666666666666
gemma2-9b-it,with_history,Background,cloud-mass,1.0
gemma2-9b-it,with_history,Background,rainfall-rates,0.3333333333333333
gemma2-9b-it,with_history,Background,naep-read-fish,1.0
gemma2-9b-it,with_history,Background,naep-read-fun,1.0
gemma2-9b-it,with_history,Background,naep-read-meters,1.0
gemma2-9b-it,with_history,Background,naep-read-shark,1.0
gemma2-9b-it,with_history,Background,naep-read-alligator,1.0
gemma2-9b-it,no_history,Overall,All,0.6805555555555556
gemma2-9b-it,no_history,Source,TIMSS,0.4583333333333333
gemma2-9b-it,no_history,Source,NASA,0.5833333333333334
gemma2-9b-it,no_history,Source,NAEP,1.0
gemma2-9b-it,no_history,Background,none,0.4583333333333333
gemma2-9b-it,no_history,Background,nasa-tbl-orb,0.5
gemma2-9b-it,no_history,Background,nasa-flare-tbl,1.0
gemma2-9b-it,no_history,Background,vector-roof-solar,0.5
gemma2-9b-it,no_history,Background,cloud-mass,0.75
gemma2-9b-it,no_history,Background,rainfall-rates,0.0
gemma2-9b-it,no_history,Background,naep-read-fish,1.0
gemma2-9b-it,no_history,Background,naep-read-fun,1.0
gemma2-9b-it,no_history,Background,naep-read-meters,1.0
gemma2-9b-it,no_history,Background,naep-read-shark,1.0
gemma2-9b-it,no_history,Background,naep-read-alligator,1.0
allam-2-7b,with_history,Overall,All,0.4722222222222222
allam-2-7b,with_history,Source,TIMSS,0.375
allam-2-7b,with_history,Source,NASA,0.2916666666666667
allam-2-7b,with_history,Source,NAEP,0.75
allam-2-7b,with_history,Background,none,0.375
allam-2-7b,with_history,Background,nasa-tbl-orb,0.5
allam-2-7b,with_history,Background,nasa-flare-tbl,0.4
allam-2-7b,with_history,Background,vector-roof-solar,0.16666666666666666
allam-2-7b,with_history,Background,cloud-mass,0.25
allam-2-7b,with_history,Background,rainfall-rates,0.0
allam-2-7b,with_history,Background,naep-read-fish,1.0
allam-2-7b,with_history,Background,naep-read-fun,0.8333333333333334
allam-2-7b,with_history,Background,naep-read-meters,0.6666666666666666
allam-2-7b,with_history,Background,naep-read-shark,0.6666666666666666
allam-2-7b,with_history,Background,naep-read-alligator,0.75
allam-2-7b,no_history,Overall,All,0.5277777777777778
allam-2-7b,no_history,Source,TIMSS,0.4166666666666667
allam-2-7b,no_history,Source,NASA,0.3333333333333333
allam-2-7b,no_history,Source,NAEP,0.8333333333333334
allam-2-7b,no_history,Background,none,0.4166666666666667
allam-2-7b,no_history,Background,nasa-tbl-orb,0.16666666666666666
allam-2-7b,no_history,Background,nasa-flare-tbl,0.4
allam-2-7b,no_history,Background,vector-roof-solar,0.5
allam-2-7b,no_history,Background,cloud-mass,0.5
allam-2-7b,no_history,Background,rainfall-rates,0.0
allam-2-7b,no_history,Background,naep-read-fish,1.0
allam-2-7b,no_history,Background,naep-read-fun,0.6666666666666666
allam-2-7b,no_history,Background,naep-read-meters,0.8333333333333334
allam-2-7b,no_history,Background,naep-read-shark,0.8333333333333334
allam-2-7b,no_history,Background,naep-read-alligator,1.0
